x-axis,1,2,3
second,Volt,Volt,Volt
-9.55000E-03,+756.25002E-03,+750.00000E-03,+724.99990E-03
-9.50000E-03,+693.75002E-03,+718.75000E-03,+693.74990E-03
-9.45000E-03,+693.75002E-03,+718.75000E-03,+724.99990E-03
-9.40000E-03,+725.00002E-03,+687.50000E-03,+662.49990E-03
-9.35000E-03,+662.50002E-03,+718.75000E-03,+693.74990E-03
-9.30000E-03,+662.50002E-03,+687.50000E-03,+662.49990E-03
-9.25000E-03,+693.75002E-03,+687.50000E-03,+662.49990E-03
-9.20000E-03,+725.00002E-03,+687.50000E-03,+662.49990E-03
-9.15000E-03,+725.00002E-03,+718.75000E-03,+662.49990E-03
-9.10000E-03,+693.75002E-03,+687.50000E-03,+662.49990E-03
-9.05000E-03,+756.25002E-03,+656.25000E-03,+724.99990E-03
-9.00000E-03,+725.00002E-03,+656.25000E-03,+693.74990E-03
-8.95000E-03,+787.50002E-03,+687.50000E-03,+693.74990E-03
-8.90000E-03,+787.50002E-03,+687.50000E-03,+724.99990E-03
-8.85000E-03,+818.75002E-03,+718.75000E-03,+724.99990E-03
-8.80000E-03,+912.50002E-03,+718.75000E-03,+787.49990E-03
-8.75000E-03,+881.25002E-03,+750.00000E-03,+787.49990E-03
-8.70000E-03,+943.75002E-03,+781.25000E-03,+818.74990E-03
-8.65000E-03,+975.00002E-03,+781.25000E-03,+849.99990E-03
-8.60000E-03,+975.00002E-03,+843.75000E-03,+881.24990E-03
-8.55000E-03,+1.03750002E+00,+843.75000E-03,+943.74990E-03
-8.50000E-03,+1.10000002E+00,+875.00000E-03,+943.74990E-03
-8.45000E-03,+1.10000002E+00,+906.25000E-03,+1.03749990E+00
-8.40000E-03,+1.19375002E+00,+968.75000E-03,+1.03749990E+00
-8.35000E-03,+1.22500002E+00,+1.00000000E+00,+1.06874990E+00
-8.30000E-03,+1.25625002E+00,+1.03125000E+00,+1.16249990E+00
-8.25000E-03,+1.31875002E+00,+1.09375000E+00,+1.25624990E+00
-8.20000E-03,+1.38125002E+00,+1.15625000E+00,+1.25624990E+00
-8.15000E-03,+1.44375002E+00,+1.18750000E+00,+1.28749990E+00
-8.10000E-03,+1.44375002E+00,+1.18750000E+00,+1.38124990E+00
-8.05000E-03,+1.53750002E+00,+1.31250000E+00,+1.44374990E+00
-8.00000E-03,+1.60000002E+00,+1.37500000E+00,+1.47499990E+00
-7.95000E-03,+1.63125002E+00,+1.40625000E+00,+1.53749990E+00
-7.90000E-03,+1.75625002E+00,+1.46875000E+00,+1.63124990E+00
-7.85000E-03,+1.78750002E+00,+1.53125000E+00,+1.69374990E+00
-7.80000E-03,+1.88125002E+00,+1.59375000E+00,+1.75624990E+00
-7.75000E-03,+1.91250002E+00,+1.65625000E+00,+1.81874990E+00
-7.70000E-03,+1.97500002E+00,+1.71875000E+00,+1.88124990E+00
-7.65000E-03,+2.00625002E+00,+1.81250000E+00,+1.94374990E+00
-7.60000E-03,+2.06875002E+00,+1.87500000E+00,+2.00624990E+00
-7.55000E-03,+2.13125002E+00,+1.90625000E+00,+2.06874990E+00
-7.50000E-03,+2.19375002E+00,+2.00000000E+00,+2.13124990E+00
-7.45000E-03,+2.25625002E+00,+2.06250000E+00,+2.16249990E+00
-7.40000E-03,+2.25625002E+00,+2.09375000E+00,+2.22499990E+00
-7.35000E-03,+2.31875002E+00,+2.15625000E+00,+2.31874990E+00
-7.30000E-03,+2.38125002E+00,+2.21875000E+00,+2.34999990E+00
-7.25000E-03,+2.38125002E+00,+2.28125000E+00,+2.38124990E+00
-7.20000E-03,+2.44375002E+00,+2.37500000E+00,+2.44374990E+00
-7.15000E-03,+2.41250002E+00,+2.40625000E+00,+2.47499990E+00
-7.10000E-03,+2.47500002E+00,+2.40625000E+00,+2.53749990E+00
-7.05000E-03,+2.50625002E+00,+2.46875000E+00,+2.53749990E+00
-7.00000E-03,+2.53750002E+00,+2.53125000E+00,+2.59999990E+00
-6.95000E-03,+2.50625002E+00,+2.56250000E+00,+2.63124990E+00
-6.90000E-03,+2.53750002E+00,+2.56250000E+00,+2.63124990E+00
